article_id,type,fact_check_url,news_url,title,newstitle,content,abstract,publish_date,meta_keywords,label,source_split,n_related_tweets,n_unique_tweets,n_replies,n_unique_reply_tweets,engagement_total,severity_applicable,severity_score,severity_label,base_harm_weight,propagation_multiplier_constant,propagation_multiplier_bucket,propagation_multiplier_linear,severity_strategy,severity_notes,engagement_bucket_fake_only,high_risk_keyword_hits,medium_risk_keyword_hits,guidance_keyword_hits
14,post,https://checkyourfact.com/2020/04/17/fact-check-eucalyptus-vapor-prevent-coronavirus/,https://www.facebook.com/frank.ekejija/posts/10216002994860099,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,,,,,,1,5,0,0,0,0,0,True,0.29,low,1.0,1.0,0.9,0.916,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,1
15,post,https://checkyourfact.com/2020/04/17/fact-check-goodwill-fire-all-employees-coronavirus/,https://www.facebook.com/sandra.feno/posts/3869474993092657,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
16,article,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/no-proof-yet-post-election-surge-coronavirus-cases/,https://secondnexus.com/wisconsin-gop-new-cases-election?fbclid=IwAR0OMqD8AioITlKpuSszaf4kmxG38s0yE26wBW-6H4C5Iu4R3ZsYlljlXxA,Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases,"""""",this is not the page you 're looking for .. ,,,"""""",1,5,0,0,0,0,0,True,0.29,low,1.0,1.0,0.9,0.916,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,1
17,article,https://healthfeedback.org/claimreview/claim-by-nobel-laureate-luc-montagnier-that-the-novel-coronavirus-is-man-made-and-contains-genetic-material-from-hiv-is-inaccurate/,https://www.gilmorehealth.com/chinese-coronavirus-is-a-man-made-virus-according-to-luc-montagnier-the-man-who-discovered-hiv/,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,"""The Coronavirus Is Man Made According to Luc Montagnier the Man Who Discovered HIV""",contrary to the narrative that is being pushed by the mainstream that the covid 19 virus was the result of a natural mutation and that it was transmitted to humans from bats via pangolins dr luc montagnier the man who discovered the hiv virus back in 1983 disagrees and is saying that the virus was man made. follow up luc montagnier insists that the virus came out of a lab in follow up interview read also in line with remdesivir chloroquine and azithromycin might also shorten hospital stays. ,contrary to the narrative that is being pushed by the mainstream dr luc montagnier the man who discovered the hiv virus is saying that the virus is man made .. ,2020-04-16T21:39:25+00:00,"""""",1,5,5,5,3,1,8,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,high,0,1,0
18,,https://www.washingtonpost.com/politics/2020/04/21/trumps-bizarre-effort-tag-obamas-swine-flu-response-disaster/,,TrumpÕs claim that ObamaÕs handling of the 2009 swine flu pandemic was a disaster.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
19,post,https://twitter.com/parscale/status/1250559631665115137,https://twitter.com/parscale/status/1250559631665115137,"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.""",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
20,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Pelosi-Did-NOT-Delete-Video-Urging-Visits-To-Chinatown-During-COVID-19.html,https://twitter.com/realDonaldTrump/status/1250852583318736896,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco.",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
21,post,https://checkyourfact.com/2020/04/16/fact-check-fda-authorize-bodysphere-two-minute-coronavirus-test/,https://www.facebook.com/purna.kandel/posts/10157471427157807,The Food and Drug Administration (FDA) authorized BodysphereÕs two-minute COVID-19 testing kit.,,,,,,1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
22,post,https://factcheck.afp.com/trump-did-not-post-tweet-about-h1n1-pandemic-2009,https://www.facebook.com/118702641498467/posts/2858722644163106,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÕs handling of the H1N1 pandemic and placing ÒALL responsibilityÓ on presidents in a crisis.",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
23,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Amazon's-Alexa-Does-Not-Say-'The-Government'-Released-Coronavirus.html,https://www.tiktok.com/@ravenhuggins/video/6807592280002809093?u_code=dagkc9khgje214&preview_pb=0&language=en&_d=dagkcfgg59mfda&timestamp=1587061476&user_id=6787714825197569029&utm_campaign=client_share&app=musically&utm_medium=ios&user_id=6787714825197569029&tt_from=copy&utm_source=copy&source=h5_m,AmazonÕs Alexa says the government released the coronavirus.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
24,post,https://www.politifact.com/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/,https://youtu.be/5GLwsH8EwgA?t=116,"In the United States, there are Ò360,000 (deaths) a year from swimming pools. But we donÕt shut the country down for that.Ó",,,,,,1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
25,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Some-Hospitals-Compensated-For-COVID-19-Patients-Under-Stimulus-But-NO-Evidence-NYC-Hospitals-Inflating-Coronavirus-Numbers.html,https://www.facebook.com/photo.php?fbid=10222102059684327&set=a.10201222770075136&type=3&theater,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,,,,,,1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
26,article,https://healthfeedback.org/viral-video-promotes-the-unsupported-hypothesis-that-sars-cov-2-is-a-bioengineered-virus-released-from-a-wuhan-research-laboratory/,https://www.theepochtimes.com/programming-alert-exclusive-documentary-on-origin-of-the-ccp-virus-premieres_3302336.html,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,"""Programming Alert: Exclusive Documentary on Origin of the CCP Virus Premieres""","programming alert exclusive documentary on origin of the ccp virus premieres the first documentary movie on the origin of ccp virus tracking down the origin of the wuhan coronavirus will premiere tonight on several youtube and facebook channels. the ccp virus which originated from china has rampaged through the world and caused more than 80,000 deaths infecting at least 1.4 million. the true number of deaths and infections is unknown due to the underreporting of cases from mainland chin. ",the first documentary movie on the origin of ccp virus tracking down the origin of the wuhan coronavirus will bepremiered tonight on the epoch times and ntd tv .. ,2020-04-07T14:59:35-04:00,"""CCP virus,documentary,joshua phillip,THE EPOCH TIMES""",1,5,248,248,23,6,271,True,0.45,medium,1.6,1.0,1.0,0.98,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,high,0,4,0
27,post,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/democrats-arent-refusing-return-vacation-all-congr/,https://www.facebook.com/tim.belk.9/posts/3179725595379578,Says Democrats are on vacation until May 4 and Òrefuse to come backÓ to sign a bill to help small businesses.,,,,,,1,5,0,0,0,0,0,True,0.21,low,1.0,1.0,0.9,0.884,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,1
28,post,https://www.politifact.com/factchecks/2020/apr/15/kellyanne-conway/kellyanne-conway-misleads-name-covid-19-says-its-n/,https://youtu.be/Y66L4xeuj-I?t=442,"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
29,post,https://checkyourfact.com/2020/04/15/fact-check-thieves-face-masked-doused-chemicals-rob-people/,https://www.facebook.com/suelue1965/posts/10220266338180942,Thieves are handing out chemically doused face masks to knock people out before robbing them.,,,,,,1,5,0,0,0,0,0,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,1,0,0
30,post,https://www.factcheck.org/2020/04/stimulus-checks-wont-reduce-future-tax-refunds/,https://www.facebook.com/chase.hatton.94/videos/vb.1235769702/10217339898989556/?type=2&theater,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
31,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Valley-County-Montana-Did-NOT-Mandate-Pink-Arm-Bands-For-All-To-Enter-Stores-Did-Revise-Confusing-Flier.html,https://www.facebook.com/spady.david/posts/10219334834414761,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol.",,,,,,1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
32,article,https://www.politifact.com/factchecks/2020/apr/14/kathy-hochul/hochul-rewrites-history-ventilator-claim/,https://www.wivb.com/news/watch-interview-with-lt-gov-kathy-hochul/,"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó","""WATCH: Interview with Lt. Gov. Kathy Hochul""",buffalo n.y. wivb)--mayor byron brown was handing out masks at the kenfield langfield development saturday.the mayor says the city has enough masks to make sure anyone living in buffalo municipal housing authority is protected. he added that with warmer weather on its way and people headed outside keeping your face covered is important. ,wivb news 4 spoke with lt. gov. kathy hochul on wednesday. ,2020-04-09T17:44:18+00:00,"""Hochul""",1,5,0,0,0,0,0,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,1,0,0
33,,https://www.washingtonpost.com/politics/2020/04/17/trumps-false-claim-that-who-said-coronavirus-was-not-communicable/,,TrumpÕs claims about how quickly WHO acted to announce human-to-human transmission,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
34,post,https://checkyourfact.com/2020/04/14/fact-check-video-orangutan-learned-wash-hands-coronavirus/,https://www.facebook.com/MattDevittWINK/videos/212099086715517/,Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
35,post,https://www.factcheck.org/2020/04/reports-didnt-misrepresent-one-mans-death-as-two/,https://www.facebook.com/permalink.php?story_fbid=10219525538503769&id=1073507553,"The news media has tried to pass off one manÕs death, attributed to complications from COVID-19, as two separate cases.",,,,,,1,5,0,0,0,0,0,True,0.31,low,1.0,1.0,0.9,0.924,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,2,0
37,article,https://www.politifact.com/factchecks/2020/apr/14/facebook-posts/michiganders-arent-banned-buying-american-flags/,https://www.teaparty.org/and-there-it-is-michigan-governor-gretchen-whitmer-bans-buying-us-flags-during-lockdown-435432/,ÒMichigan Governor Gretchen Whitmer bans buying US flags during lockdown.Ó,"""And There It Is… Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown | Tea Party""",gateway pundit crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores and brick and mortar retailers from selling vegetable seeds. in late march michigan democrat governor gretchen whitm. ,,"April 17, 2020 At 5:47 pm","""""",1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
38,article,https://www.politifact.com/factchecks/2020/apr/14/rick-santorum/rick-santorum-said-trump-was-ahead-curve-china-tra/,https://www.thedailybeast.com/rick-santorum-admits-trump-cant-force-governors-to-reopen-states?via=twitter_page,"ÒThe president looks like he was ahead of the curve Ð as you know, he talks about this all the time Ð on shutting down travel from China.Ó","""Rick Santorum Admits Trump Can’t Force Governors to Reopen States""",on monday morning president donald trump tweeted for the purpose of creating conflict and confusion some in the fake news media are saying that it is the governors decision to open up the states not that of the president of the united states the federal government. let it be fully understood that this is incorrect he continued. it is the decision of the president and for many good reasons. with that being said the administration and i are working closely with the governors and th. ,even one of the presidents most passionate allies ca nt defend trumps misleading tweets about his power to overrule governors .. ,2020-04-13T17:32:53.000Z,"""Donald J. Trump, CNN, Rick Santorum""",1,5,34,34,30,7,64,True,0.25,low,1.0,1.0,0.9,0.9,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,high,0,0,0
39,post,https://www.politifact.com/factchecks/2020/apr/22/facebook-posts/joe-diffie-died-covid-19-complications/,https://www.facebook.com/tony.phillips.102977/posts/3321721614506205,Joe DiffieÕs death was labeled Òas a COVID-19 death and it wasnÕt!Ó,,,,,,1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
40,article,https://www.politifact.com/factchecks/2020/apr/14/donald-trump/trumps-ridiculous-statement-about-total-authority-/,https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-13,Trump says that as president he has ÒtotalÓ authority to re-open states amid the COVID-19 pandemic.,"""Donald Trump Coronavirus Press Conference Transcript April 13""",donald trump 11:23 thank you very much everyone. before i begin i d like to offer my condolences and best wishes to the people all across our great south who have endured deadly tornadoes and other severe weather in texas louisiana mississippi alabama florida georgia tennessee and south carolina. donald trump 11:42 my administration will do everything possible to help those communities get back on their feet. were speaking with their governors and representatives. femas alr. ,donald trump held his daily covid-19 press briefing on april 13. he berated the press coverage of his handling of the pandemic and claimed total authority over states. ,,"""""",1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
41,article,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Officials-NOT-Wrong-To-Impose-Safety-Measures-And-COVID-19-IS-A-Pandemic.html,https://video.foxnews.com/v/6149014727001#sp=show-clips,"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic.","""Bill Bennett: 'We scared the hell out the American people'""",,we have panic and pandemonium as result of the hype says bill bennett highlighting some promising numbers he thinks have been overlooked amid the coronavirus outbreak. ,,"""""",1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
42,post,https://www.politifact.com/factchecks/2020/apr/13/donald-trump/trumps-false-claim-its-him-not-governors-open-stat/,https://twitter.com/realDonaldTrump/status/1249712404260421633,"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
43,post,https://www.politifact.com/factchecks/2020/apr/15/youtube-videos/no-you-dont-have-pay-back-your-stimulus-check/,https://www.youtube.com/watch?v=6o8DJWJCBZ8&feature=youtu.be&fbclid=IwAR1JKgPx7nFJmjZfky6_vbQbxYGDKi5eie5FvTnT1T4ZY4LTUajgDp3kE5k,"The US $1,200 coronavirus relief checks this year are Òjust an advance on your next tax return. É Next year, youÕre automatically going to owe $1,200 come tax season.Ó",,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
44,post,https://www.politifact.com/factchecks/2020/apr/15/facebook-posts/facebook-posts-falsely-claim-dr-fauci-has-millions/,https://www.facebook.com/AP.i.am.awake/photos/a.2273198979374324/3365236183503926/?type=3,Says American NIAID director Dr. Anthony Fauci Òstands to lose 100 million dollars on Bill Gates ÔvaccineÕ for the coronavirus. Because he invested in this vaccine.Ó,,,,,,1,5,0,0,0,0,0,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,1,0,0
45,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Numbers-Do-NOT-Show-Coronavirus-Pandemic-Is-Greatest-'Con'.html,https://twitter.com/JackMotleyLive/status/1249332549928849414,Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.,,,,,,1,5,0,0,0,0,0,True,0.23,low,1.0,1.0,0.9,0.892,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,1,0
46,article,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Michigan-Governor-Did-NOT-Ban-Sale-Of-American-Flags-During-Coronavirus-Outbreak.html,https://therepublicpost.wordpress.com/2020/04/12/michigan-governor-gretchen-whitmer-bans-buying-us-flags-during-lockdown/?fbclid=IwAR3mlaBlD3iHO7hnVYAPSBNP2hz_pQhOGt1rkyeuIpO2OvNO4BdOd5-rg48,Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,"""Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown""",crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores and brick and mortar retailers from selling vegetable seeds. in late march michigan democrat governor gretchen whitmer limited access o. ,crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores. ,2020-04-12T14:35:19+00:00,"""""",1,5,500,500,286,67,786,True,0.33,low,1.0,1.0,0.9,0.932,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,high,0,1,0
47,post,https://factcheck.afp.com/photo-does-not-show-throat-infected-novel-coronavirus,https://www.facebook.com/kemcolian298/photos/a.1926503310952639/2594456220824008/?type=3&theater,A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
48,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-COVID-19-Stimulus-Checks-NOT-An-Advance-On-Next-Year's-Tax-Refund.html,https://www.facebook.com/photo.php?fbid=2483859355259695&set=a.1811105709201733&type=3,COVID-19 stimulus checks are an advance on 2020 tax refunds.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
49,post,https://www.politifact.com/factchecks/2020/apr/13/deanna-lorraine/tweet-amplified-trump-misleads-faucis-late-februar/,https://twitter.com/DeAnna4Congress/status/1249457858686656512,Dr. Anthony Fauci Òwas telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.Ó,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
50,post,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Sex-Lines-Do-NOT-Have-Stimulus-Checks-Information.html,https://www.facebook.com/photo.php?fbid=2772175532831864&set=a.155958171120293&type=3&theater,Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.,,,,,,1,5,0,0,0,0,0,True,0.15,low,1.0,1.0,0.9,0.86,rule_based_default,Heuristic severity from content/guidance keywords with mild engagement adjustment.,low,0,0,0
